Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
10112,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10115,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10118,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119,0,,,,,1,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10120,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128,"62,743",236,1.88,1.88,,21,166.9,960.12,6604,9778,16471,30895,20800,59542,32920,30619,23548,"$707,005.00 ",,,,,,,,,,,,
10150,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152,0,2,,,,2,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",819,,,15832.182,,,77,,,819,15832.182,77
10153,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10154,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10155,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
10156,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162,"1,324",,,,,,115.56,"3,678.25",115,534,146,1286,0,1131,1003,678,27,"$1,264,101.00 ",,,,,,,,,,,,
10163,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10166,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10167,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10168,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10169,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10170,0,10,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10171,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10172,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10173,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10174,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10177,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10185,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10199,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10271,0,2,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10278,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10279,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10280,"9,820",36,1.83,1.83,,12,776.27,"5,329.23",3954,3126,4783,4559,2394,7658,4889,3092,3798,"$987,965.00 ",432,,,2980.59,,,55,,,432,2980.59,55
10281,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
10282,"5,644",48,4.25,4.25,1,10,"1,991.50","11,104.18",2161,1783,2589,2044,2035,4681,1801,1638,809,"$1,691,951.00 ",778,,,28092.769,,,143,,,778,28092.769,143
Niagara County,"212,517",814,1.92,1.92,,40,54.72,299.69,106077,114544,109711,99389,53588,84747,48728,33708,17425,"($9,993,584,328.00)",421,197,,3157.022,1092.058,,48,25,,618,4249.08,73
14008,"1,286",4,1.56,1.56,,,118.97,"3,786.94",361,916,588,463,401,584,287,743,311,"$363,611.00 ",,,,,,,,,,,,
14012,"2,488",6,1.21,1.21,,,61.5,"1,957.40",985,801,477,851,704,965,563,735,489,"$359,221.00 ",,,,,,,,,,,,
14028,"1,548",10,3.23,3.23,,,98.84,"3,145.99",680,488,520,1096,172,370,509,608,193,"$415,122.00 ",,,,,,,,,,,,
14067,"5,494",8,0.73,0.73,,,27.85,886.42,2029,2134,2293,2494,852,1217,1981,1994,708,"$364,670.00 ",,,,,,,,,,,,
14092,"11,331",92,4.06,4.06,,14,"1,026.21","5,620.77",6486,6159,7126,4518,1930,3715,2770,1573,645,"$439,209.00 ",,,,,,,,,,,,
14094,"49,308",224,2.27,2.27,,8,154.64,"1,061.90",24925,26581,20825,20727,14277,23861,15577,9157,4301,"$354,849.00 ",,,,,,,,,,,,
14095,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14105,"4,481",24,2.68,2.68,,,34.14,"1,086.81",1429,1922,1671,2171,872,1494,1526,1683,1114,"$397,668.00 ",,,,,,,,,,,,
14108,"6,206",16,1.29,1.29,,,24.65,784.72,2977,2175,2191,2264,1553,2213,1817,1647,464,"$383,351.00 ",,,,,,,,,,,,
14109,"1,155",,,,,2,"7,103.90","46,574.03",1297,352,182,94,6,113,22,42,0,"($4,666,666,662.00)",,,,,,,,,,,,
14120,"44,686",168,1.88,1.88,,,3.42,108.98,19314,20283,25538,30641,15491,22815,8437,4225,2933,"$386,953.00 ",,,,,,,,,,,,
14126,486,2,2.06,2.06,,,314.81,"10,020.58",180,156,172,167,0,427,89,280,31,"($666,384,128.00)",,,,,,,,,,,,
14131,"5,107",34,3.33,3.33,,,29.96,953.59,1941,1467,2178,3231,1950,2929,1404,1493,515,"$437,744.00 ",,,,,,,,,,,,
14132,"6,217",8,0.64,0.64,,,24.61,783.34,2069,3982,3150,4737,1815,2557,1995,1116,423,"$424,402.00 ",,,,,,,,,,,,
14172,"2,826",12,2.12,2.12,,,54.14,"1,723.28",1396,685,951,966,754,1495,1167,1620,326,"$410,227.00 ",,,,,,,,,,,,
14174,"5,474",52,4.75,4.75,,,27.95,889.66,1867,1912,2943,3261,1214,2037,1694,1334,577,"$455,617.00 ",,,,,,,,,,,,
14301,"12,682",12,0.47,0.47,,,12.06,384.01,7073,7723,5719,2982,2153,1759,2252,643,733,"$162,620.00 ",,,,,,,,,,,,
14302,89,10,56.18,56.18,,,"1,719.10","54,719.10",0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
14303,"5,763",14,1.21,1.21,,6,"1,286.14","8,335.07",2511,4253,2756,1315,713,1776,404,490,578,"$200,833.00 ",,,,,,,,,,,,
14304,"28,977",80,1.38,1.38,,8,320.6,"1,999.62",17597,21071,20696,12555,6289,9782,3936,3053,1951,"$340,122.00 ",421,197,,3157.022,1092.058,,48,25,,618,4249.08,73
14305,"16,913",36,1.06,1.06,,2,687.52,"3,765.68",10960,11484,9735,4856,2442,4638,2298,1272,1133,"$236,905.00 ",,,,,,,,,,,,
Oneida County,"233,023",766,1.64,1.64,9,35,44.49,258.01,140619,142197,125867,98522,37421,61531,26745,27667,26892,"($7,982,239,145.00)",,,,,,,,,,,,
13054,"1,545",4,1.29,1.29,,,99.03,"3,152.10",612,885,909,362,35,322,311,337,208,"$341,356.00 ",,,,,,,,,,,,
13123,491,2,2.04,2.04,,,311.61,"9,918.53",13,0,193,192,77,0,73,113,0,"$419,364.00 ",,,,,,,,,,,,
13157,540,4,3.7,3.7,,,283.33,"9,018.52",112,18,387,273,80,472,191,201,0,"$295,838.00 ",,,,,,,,,,,,
13162,306,2,3.27,3.27,,,500,"15,915.03",400,0,90,631,58,214,14,58,41,"($666,224,850.00)",,,,,,,,,,,,
13301,91,2,10.99,10.99,,,"1,681.32","53,516.48",11,66,38,0,2,46,149,42,36,"$478,424.00 ",,,,,,,,,,,,
13303,"1,197",2,0.84,0.84,,,127.82,"4,068.50",302,463,438,650,807,354,192,342,259,"$432,313.00 ",,,,,,,,,,,,
13304,"1,556",4,1.29,1.29,,,98.33,"3,129.82",609,431,471,992,637,728,90,461,465,"$533,061.00 ",,,,,,,,,,,,
13308,"2,816",6,1.07,1.07,,,54.33,"1,729.40",756,466,1627,1387,650,1326,1545,1128,810,"$317,375.00 ",,,,,,,,,,,,
13309,"5,775",14,1.21,1.21,,,26.49,843.29,4812,2590,1250,587,577,2124,3084,1965,1091,"$363,935.00 ",,,,,,,,,,,,
13313,522,,,,,,293.1,"9,329.50",204,125,233,311,166,341,57,44,58,"$268,735.00 ",,,,,,,,,,,,
13316,"6,368",20,1.57,1.57,,,24.03,764.76,4729,3038,1186,1230,1229,2942,1768,2738,1498,"$338,043.00 ",,,,,,,,,,,,
13318,"1,279",,,,,,119.62,"3,807.66",472,408,370,1206,422,677,208,95,207,"$369,226.00 ",,,,,,,,,,,,
13319,654,,,,,,233.94,"7,446.48",395,658,868,588,24,322,346,38,76,"$282,184.00 ",,,,,,,,,,,,
13321,"1,037",2,0.96,0.96,,,147.54,"4,696.24",771,769,753,648,159,227,0,95,48,"$340,688.00 ",,,,,,,,,,,,
13322,887,2,1.13,1.13,,,172.49,"5,490.42",501,350,515,1156,235,164,194,140,41,"$348,273.00 ",,,,,,,,,,,,
13323,"11,212",86,3.84,3.84,,,13.65,434.36,10625,7681,6191,4547,1880,1947,507,613,900,"$436,135.00 ",,,,,,,,,,,,
13328,"1,500",2,0.67,0.67,,,102,"3,246.67",779,591,591,1182,337,934,189,69,189,"$420,937.00 ",,,,,,,,,,,,
13338,"1,140",2,0.88,0.88,,,134.21,"4,271.93",399,264,222,200,194,355,434,546,226,"$347,807.00 ",,,,,,,,,,,,
13341,132,4,15.15,15.15,,,"1,159.09","36,893.94",27,31,192,181,0,0,0,29,4,"$469,892.00 ",,,,,,,,,,,,
13352,38,,,,,,"4,026.32","128,157.89",0,0,128,0,109,324,0,0,0,"($1,333,122,787.00)",,,,,,,,,,,,
13354,"3,710",18,2.43,2.43,,,41.24,"1,312.67",839,1145,2302,3289,1275,1925,265,179,552,"$501,828.00 ",,,,,,,,,,,,
13362,191,,,,,,801.05,"25,497.38",49,0,0,216,57,94,149,0,26,"($666,197,455.00)",,,,,,,,,,,,
13363,"2,115",8,1.89,1.89,,,72.34,"2,302.60",262,341,1334,1893,497,1012,948,765,260,"$415,615.00 ",,,,,,,,,,,,
13403,"7,504",110,7.33,7.33,,,20.39,648.99,1958,3643,4062,2968,763,403,544,180,462,"$517,378.00 ",,,,,,,,,,,,
13413,"16,297",104,3.19,3.19,,,9.39,298.83,11593,14204,10643,7217,1605,2658,717,1246,1434,"$462,725.00 ",,,,,,,,,,,,
13417,"3,503",14,2,2,,,43.68,"1,390.24",2315,2723,2369,1682,353,469,51,59,65,"$238,674.00 ",,,,,,,,,,,,
13424,"2,560",4,0.78,0.78,,2,285.55,"5,498.05",1792,1545,2150,1012,100,375,67,152,128,"$412,776.00 ",,,,,,,,,,,,
13425,"2,333",2,0.43,0.43,,,65.58,"2,087.44",956,645,774,1231,720,1028,713,286,573,"$313,599.00 ",,,,,,,,,,,,
13435,285,2,3.51,3.51,,,536.84,"17,087.72",103,75,49,139,146,188,41,3,11,"$373,740.00 ",,,,,,,,,,,,
13438,"3,389",10,1.48,1.48,,,45.15,"1,437.00",1223,1198,1127,869,1104,3416,1233,784,798,"$371,992.00 ",,,,,,,,,,,,
13440,"42,295",104,1.23,1.23,1,16,219.65,"1,369.97",27506,26973,20157,16754,6744,13378,3221,2910,3934,"$351,533.00 ",,,,,,,,,,,,
13441,59,10,84.75,84.75,,4,"129,203.39","887,000.00",62,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
13456,"4,107",10,1.22,1.22,,,37.25,"1,185.78",2395,2384,3157,4044,1009,1112,388,370,563,"$445,555.00 ",,,,,,,,,,,,
13461,"3,054",10,1.64,1.64,,,50.1,"1,594.63",1719,1390,1165,1182,862,1006,757,1221,198,"$406,948.00 ",,,,,,,,,,,,
13469,995,2,1.01,1.01,,,153.77,"4,894.47",648,235,598,949,131,252,51,91,129,"$489,333.00 ",,,,,,,,,,,,
13471,"3,341",2,0.3,0.3,,,45.79,"1,457.65",506,1106,824,2323,1061,1929,885,779,590,"$332,379.00 ",,,,,,,,,,,,
13476,"3,332",12,1.8,1.8,,,45.92,"1,461.58",2074,1629,1586,2023,987,1086,343,424,409,"$368,248.00 ",,,,,,,,,,,,
13477,"1,532",,,,,,99.87,"3,178.85",741,294,1388,1198,1264,277,123,322,523,"$343,456.00 ",,,,,,,,,,,,
13478,"3,018",4,0.66,0.66,,2,"3,435.39","19,921.47",1511,1386,1880,1326,740,988,425,1027,197,"$462,143.00 ",,,,,,,,,,,,
13479,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13480,"3,469",6,0.86,0.86,,2,"1,568.18","12,771.12",2216,1148,894,1953,1161,1628,538,468,617,"$345,390.00 ",,,,,,,,,,,,
13483,306,,,,,,500,"15,915.03",20,156,18,0,72,206,153,169,52,"($666,434,675.00)",,,,,,,,,,,,
13486,837,4,2.39,2.39,,,182.8,"5,818.40",91,172,558,462,158,277,262,69,47,"$364,307.00 ",,,,,,,,,,,,
13490,"1,659",4,1.21,1.21,,,92.22,"2,935.50",659,537,1472,847,479,249,44,382,348,"$490,051.00 ",,,,,,,,,,,,
13492,"11,351",26,1.15,1.15,,2,671.57,"4,610.43",7763,11295,9686,4426,1335,1295,312,770,1367,"$423,568.00 ",,,,,,,,,,,,
13494,232,,,,,,659.48,"20,991.38",109,28,76,104,68,46,120,174,81,"$323,725.00 ",,,,,,,,,,,,
13495,"2,123",2,0.47,0.47,,1,423.93,"6,944.89",1929,1793,1406,713,116,164,272,199,349,"$353,749.00 ",,,,,,,,,,,,
13501,"38,415",72,0.94,0.94,,,3.98,126.77,21350,23340,20906,9931,3076,7208,2606,3379,3906,"$223,170.00 ",,,,,,,,,,,,
13502,"31,925",82,1.28,1.28,8,6,289.3,"1,767.45",21701,23978,18634,13448,3860,5043,2165,2205,3116,"$271,816.00 ",,,,,,,,,,,,
13503,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13504,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onondaga County,"463,509","2,186",2.36,2.36,8,122,25.22,137.62,217944,257942,309421,299963,101402,129897,46879,41259,46793,"($12,649,828,038.00)",735,287,482,16272.816,1806.424,3141.535,74,44,67,1504,21220.775,185
13020,132,,,,,,"1,159.09","36,893.94",48,0,10,33,96,131,38,0,0,"$290,467.00 ",,,,,,,,,,,,
13027,"32,603",188,2.88,2.88,,,4.69,149.37,10909,11513,15479,26048,13758,16464,5306,3259,3737,"$475,815.00 ",683,,,16002.557,,,57,,,683,16002.557,57
13029,"7,227",36,2.49,2.49,,,21.17,673.86,2125,2598,5324,6536,2294,3060,433,769,715,"$472,258.00 ",,,,,,,,,,,,
13031,"15,950",68,2.13,2.13,,,9.59,305.33,6177,7998,9077,15495,5309,5665,1181,726,1665,"$486,579.00 ",,,,,,,,,,,,
13039,"17,681",84,2.38,2.38,,3,79.58,965.84,5889,9324,15624,19048,4497,3615,1260,1494,1133,"$554,991.00 ",,,,,,,,,,,,
13041,"11,762",70,2.98,2.98,,2,462.51,"3,768.83",4291,4817,8949,11703,3523,3546,1332,1329,920,"$559,401.00 ",,,,,,,,,,,,
13051,234,,,,,,653.85,"20,811.97",0,0,26,0,0,28,168,55,0,"($3,333,228,330.00)",,,,,,,,,,,,
13057,"13,894",68,2.45,2.45,,6,386.07,"3,132.58",9283,10580,12112,9461,2009,2497,879,811,776,"$392,191.00 ",,,,,,,,,,,,
13060,"2,974",22,3.7,3.7,,,51.45,"1,637.53",1704,971,1131,1474,1218,1769,462,390,178,"$415,729.00 ",,,,,,,,,,,,
13063,"1,914",10,2.61,2.61,,,79.94,"2,544.41",1857,293,376,651,1017,1638,951,389,331,"$537,949.00 ",,,,,,,,,,,,
13066,"12,467",172,6.9,6.9,,6,745.17,"4,647.71",6136,6708,8480,10385,2744,3143,892,946,1114,"$576,670.00 ",,,,,,,,,,,,
13078,"10,439",134,6.42,6.42,,2,76.92,"1,404.25",2695,5522,7993,6815,1644,2559,1020,450,1071,"$594,864.00 ",,,,,,,,,,,,
13080,"3,410",12,1.76,1.76,,1,"2,724.34","16,992.08",1588,1269,1867,1827,1410,1892,1466,909,387,"$433,025.00 ",,,,,,,,,,,,
13084,"3,834",18,2.35,2.35,,,39.91,"1,270.21",2070,988,1983,3880,2055,1462,515,240,378,"$459,149.00 ",,,,,,,,,,,,
13088,"22,320",98,2.2,2.2,8,19,523.75,"2,857.97",10697,15682,19104,15726,4054,4221,1941,1638,2058,"$373,331.00 ",,,,,,,,,,,,
13090,"29,893",128,2.14,2.14,,10,308.97,"1,887.60",12675,14563,22981,28569,10394,10631,2800,2966,3586,"$491,115.00 ",52,,482,270.259,,3141.535,17,,67,534,3411.794,84
13104,"16,164",202,6.25,6.25,,,9.47,301.29,6089,5732,6732,12112,6136,7225,2999,1357,2072,"$673,787.00 ",,,,,,,,,,,,
13108,"6,139",42,3.42,3.42,,1,763.81,"5,881.58",2741,2086,2892,3664,2826,4676,1757,499,386,"$526,362.00 ",,,,,,,,,,,,
13110,"2,298",6,1.31,1.31,,,66.58,"2,119.23",730,583,716,1004,480,1745,1500,747,408,"$482,941.00 ",,,,,,,,,,,,
13112,"1,850",4,1.08,1.08,,,82.7,"2,632.43",782,448,740,1021,1067,1231,518,199,457,"$439,024.00 ",,,,,,,,,,,,
13116,"3,527",8,1.13,1.13,,,43.38,"1,380.78",1786,1473,2989,3766,1049,284,360,186,318,"$413,603.00 ",,,,,,,,,,,,
13120,"2,273",8,1.76,1.76,,,67.31,"2,142.54",762,651,1605,1876,629,1109,112,54,116,"$391,515.00 ",,,,,,,,,,,,
13138,0,2,,,,,,,0,0,0,55,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
13152,"8,208",102,6.21,6.21,,6,300.68,"2,616.23",5181,2987,2170,2298,1237,3829,3841,2423,1144,"$594,401.00 ",,287,,,1806.424,,,44,,287,1806.424,44
13153,343,,,,,,446.06,"14,198.25",265,219,155,16,194,118,51,0,75,"$486,122.00 ",,,,,,,,,,,,
13159,"5,209",38,3.65,3.65,,,29.37,934.92,2768,1572,1156,2390,2247,4265,1662,909,829,"$500,319.00 ",,,,,,,,,,,,
13164,"2,449",14,2.86,2.86,,,62.47,"1,988.57",435,983,1606,2693,1152,1283,103,282,298,"$540,458.00 ",,,,,,,,,,,,
13202,"6,206",34,2.74,2.74,,35,"1,830.81","10,144.70",2417,2389,2090,1264,206,820,18,348,583,"$102,824.00 ",,,,,,,,,,,,
13203,"17,027",30,0.88,0.88,,,8.99,286.02,8550,10551,10676,5756,1346,2759,1225,1496,1297,"$207,435.00 ",,,,,,,,,,,,
13204,"18,477",22,0.6,0.6,,3,251.93,"1,920.66",8680,11674,12777,7758,1846,4627,1449,2527,1676,"$197,197.00 ",,,,,,,,,,,,
13205,"18,051",24,0.66,0.66,,2,538.92,"3,270.23",5214,8875,11353,8881,1570,3364,786,891,2860,"$215,014.00 ",,,,,,,,,,,,
13206,"16,630",38,1.14,1.14,,4,584.97,"3,549.67",10767,16192,12738,6153,1505,2413,1249,1994,1715,"$277,705.00 ",,,,,,,,,,,,
13207,"13,329",40,1.5,1.5,,,11.48,365.37,5905,7028,8458,8088,1211,2984,774,1057,1502,"$307,399.00 ",,,,,,,,,,,,
13208,"22,764",18,0.4,0.4,,,6.72,213.93,10386,15953,14869,8076,1562,3446,992,1826,2689,"$228,514.00 ",,,,,,,,,,,,
13209,"13,090",24,0.92,0.92,,2,620.78,"4,058.75",6938,6962,11076,11507,2587,2131,975,719,1532,"$357,126.00 ",,,,,,,,,,,,
13210,"27,980",94,1.68,1.68,,9,194.42,"1,584.31",18069,20246,14670,8981,2136,2513,685,1393,1803,"$182,003.00 ",,,,,,,,,,,,
13211,"6,669",4,0.3,0.3,,,22.94,730.24,4290,5617,5323,3082,883,1238,489,710,322,"$314,661.00 ",,,,,,,,,,,,
13212,"20,692",66,1.59,1.59,,6,392.71,"2,563.84",12331,13327,17708,11914,2934,3707,1346,1848,1413,"$377,272.00 ",,,,,,,,,,,,
13214,"9,055",58,3.2,3.2,,,16.9,537.82,6407,6588,6412,2962,1006,1268,316,692,507,"$452,399.00 ",,,,,,,,,,,,
13215,"15,046",74,2.46,2.46,,,10.17,323.67,5323,7973,10734,12447,4928,5508,1730,1061,1710,"$573,213.00 ",,,,,,,,,,,,
13219,"14,895",50,1.68,1.68,,,10.27,326.96,8931,7682,10738,11885,3767,3799,950,957,1919,"$408,882.00 ",,,,,,,,,,,,
13220,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13224,"8,404",70,4.16,4.16,,,18.21,579.49,4053,7325,8522,2663,876,1234,348,713,1113,"$369,906.00 ",,,,,,,,,,,,
13235,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13244,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
13290,0,,,,,2,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
Ontario County,"108,653",676,3.11,3.11,8,26,104.93,580.66,71458,50985,46535,46190,25365,40284,27794,25498,16594,"$6,457,142.00 ",412,,,8691.572,,,65,,,412,8691.572,65
14424,"27,609",160,2.9,2.9,,6,276.11,"1,895.51",16529,14410,12378,9809,5202,8104,8471,7528,3783,"$385,360.00 ",,,,,,,,,,,,
14425,"11,754",92,3.91,3.91,,,13.02,414.33,5227,3983,7018,4056,3233,6763,3477,2020,1833,"$433,121.00 ",,,,,,,,,,,,
14432,"6,142",20,1.63,1.63,,4,"1,856.24","10,271.90",5121,2622,3371,3207,884,1797,1318,1182,437,"$377,775.00 ",,,,,,,,,,,,
14453,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14456,"19,599",56,1.43,1.43,,13,573.65,"3,199.14",21961,12110,6396,6782,3498,3647,957,3234,3217,"$321,838.00 ",412,,,8691.572,,,65,,,412,8691.572,65
14466,"1,583",6,1.9,1.9,,,96.65,"3,076.44",568,430,514,927,626,811,832,1435,675,"$450,979.00 ",,,,,,,,,,,,
14469,"6,170",18,1.46,1.46,,,24.8,789.3,3358,2451,2656,2842,963,3082,3653,1469,876,"$431,852.00 ",,,,,,,,,,,,
14471,"2,636",6,1.14,1.14,,,58.04,"1,847.50",767,731,1108,990,606,1600,689,1600,994,"$387,237.00 ",,,,,,,,,,,,
14475,257,2,3.89,3.89,,,595.33,"18,949.42",104,66,57,108,180,143,87,52,33,"$483,959.00 ",,,,,,,,,,,,
14504,"1,873",2,0.53,0.53,,,81.69,"2,600.11",871,1070,1454,947,383,499,526,248,104,"$362,777.00 ",,,,,,,,,,,,
14512,"4,556",26,2.85,2.85,,,33.58,"1,068.92",2434,1111,860,1504,494,2331,1222,2271,1637,"$364,508.00 ",,,,,,,,,,,,
14532,"4,538",22,2.42,2.42,,,33.72,"1,073.16",3596,2438,2519,2197,934,983,1182,658,864,"$378,146.00 ",,,,,,,,,,,,
14537,134,,,,,,"1,141.79","36,343.28",33,167,17,146,70,43,53,43,69,"$371,350.00 ",,,,,,,,,,,,
14548,"3,791",8,1.06,1.06,,,40.36,"1,284.62",2248,1640,2655,2514,784,1707,1092,1205,512,"$416,263.00 ",,,,,,,,,,,,
14561,"2,929",10,1.71,1.71,,,52.24,"1,662.68",1894,1468,1514,2110,862,939,739,700,404,"$434,173.00 ",,,,,,,,,,,,
14564,"14,999",246,8.2,8.2,8,3,345.09,"2,789.59",6704,6254,3997,8024,6632,7835,3496,1853,1156,"$587,025.00 ",,,,,,,,,,,,
14585,83,2,12.05,12.05,,,"1,843.37","58,674.70",43,34,21,27,14,0,0,0,0,"$270,779.00 ",,,,,,,,,,,,
Orange County,"369,206","1,610",2.18,2.18,12,39,31.31,172.11,160405,156478,131206,119931,54323,107843,68333,97354,215942,"($21,975,591,175.00)",388,,,3371.019,,,46,,,388,3371.019,46
10910,25,,,,,,"6,120.00","194,800.00",125,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10911,0,,,,,5,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
10912,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10914,415,2,2.41,2.41,,,368.67,"11,734.94",131,49,0,99,92,218,113,175,314,"$985,895.00 ",,,,,,,,,,,,
10915,75,2,13.33,13.33,,,"2,040.00","64,933.33",0,114,30,0,0,54,0,170,23,"($3,333,270,387.00)",,,,,,,,,,,,
10916,"4,228",34,4.02,4.02,,,36.19,"1,151.84",956,1955,1834,1717,968,1238,734,997,2864,"$718,370.00 ",,,,,,,,,,,,
10917,"1,862",16,4.3,4.3,2,2,"1,593.98","13,459.18",454,766,719,742,469,579,351,1235,1139,"$650,607.00 ",,,,,,,,,,,,
10918,"12,477",62,2.48,2.48,,2,252.06,"2,059.55",3989,5236,3765,4164,1911,2566,3688,4401,9528,"$629,955.00 ",,,,,,,,,,,,
10919,"1,393",6,2.15,2.15,,,109.83,"3,496.05",186,643,684,355,14,522,333,584,890,"$676,479.00 ",,,,,,,,,,,,
10921,"3,765",16,2.12,2.12,,,40.64,"1,293.49",2209,1848,1552,893,1175,784,694,1447,2679,"$554,872.00 ",,,,,,,,,,,,
10922,"1,637",10,3.05,3.05,,1,"4,656.69","31,968.85",821,666,662,439,309,1097,364,234,940,"$639,078.00 ",,,,,,,,,,,,
10924,"13,253",102,3.85,3.85,,2,365.8,"2,886.06",4986,6344,4859,3867,1165,2409,2391,3426,7622,"$623,730.00 ",,,,,,,,,,,,
10925,"3,942",30,3.81,3.81,,,38.81,"1,235.41",977,869,860,1135,497,1503,1435,2447,4199,"$510,218.00 ",,,,,,,,,,,,
10926,"3,526",10,1.42,1.42,,4,420.87,"5,016.17",2173,1992,368,761,755,1853,891,1312,2661,"$500,996.00 ",388,,,3371.019,,,46,,,388,3371.019,46
10928,"3,974",14,1.76,1.76,,2,"1,377.71","11,365.63",4908,2057,1539,1311,713,1072,1013,498,1086,"$503,153.00 ",,,,,,,,,,,,
10930,"8,837",54,3.06,3.06,,,17.31,551.09,2128,3217,2504,2154,1548,3972,2002,3844,8054,"$873,876.00 ",,,,,,,,,,,,
10932,72,2,13.89,13.89,,,"2,125.00","67,638.89",0,65,78,78,0,0,0,0,81,"($3,999,849,220.00)",,,,,,,,,,,,
10933,738,2,1.36,1.36,,,207.32,"6,598.92",263,160,230,446,28,419,49,144,44,"$628,857.00 ",,,,,,,,,,,,
10940,"49,692",132,1.33,1.33,,5,153.4,"1,053.15",23734,24865,19174,17973,6496,14429,6723,10305,28729,"$414,453.00 ",,,,,,,,,,,,
