Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
13620,"2,136",2,0.47,0.47,,,71.63,"2,279.96",728,717,1284,833,256,209,247,394,192,"$319,192.00 ",,,,,,,,,,,,
13626,"2,313",2,0.43,0.43,,,66.15,"2,105.49",1268,622,911,1899,942,889,384,252,217,"$377,199.00 ",,,,,,,,,,,,
13648,"2,376",2,0.42,0.42,,,64.39,"2,049.66",1443,473,235,289,320,949,776,825,727,"$311,254.00 ",,,,,,,,,,,,
Livingston County,"65,298",200,1.53,1.53,,10,142.27,887.36,41661,26237,22093,19244,14060,25552,20484,20188,11865,"$7,818,556.00 ",,,,,,,,,,,,
14414,"7,049",38,2.7,2.7,,4,"1,317.92","8,220.03",4133,2770,2949,3746,2537,4807,2739,1785,689,"$419,168.00 ",,,,,,,,,,,,
14423,"4,782",8,0.84,0.84,,,31.99,"1,018.40",3230,2070,1816,1468,1649,3065,2087,1150,499,"$384,578.00 ",,,,,,,,,,,,
14435,"2,810",20,3.56,3.56,,,54.45,"1,733.10",752,467,1639,1109,405,1054,1698,2409,981,"$453,547.00 ",,,,,,,,,,,,
14437,"11,511",16,0.69,0.69,,,13.29,423.07,7796,3803,1794,1992,1627,3143,1829,3307,3166,"$314,027.00 ",,,,,,,,,,,,
14454,"11,267",48,2.13,2.13,,2,458.33,"3,662.47",9291,5177,4382,1579,1301,3152,2752,1776,863,"$326,631.00 ",,,,,,,,,,,,
14462,591,2,1.69,1.69,,,258.88,"8,240.27",91,173,435,314,43,71,154,426,172,"$375,467.00 ",,,,,,,,,,,,
14480,"1,049",2,0.95,0.95,,,145.85,"4,642.52",1179,380,28,111,179,225,474,139,0,"$296,313.00 ",,,,,,,,,,,,
14481,"1,818",,,,,,84.16,"2,678.77",1114,1605,676,675,354,430,623,497,219,"$398,729.00 ",,,,,,,,,,,,
14485,"4,243",22,2.59,2.59,,3,"2,189.49","13,656.14",2349,1892,1015,2056,1878,2376,1876,900,665,"$349,265.00 ",,,,,,,,,,,,
14486,349,,,,,,438.4,"13,954.15",46,200,108,270,71,23,106,117,21,"$405,944.00 ",,,,,,,,,,,,
14487,"5,859",20,1.71,1.71,,1,869.6,"6,856.80",2660,2481,1558,1700,1629,3390,2902,2741,599,"$470,962.00 ",,,,,,,,,,,,
14510,"4,690",2,0.21,0.21,,,32.62,"1,038.38",3992,2235,2335,1068,620,999,937,1321,461,"$315,621.00 ",,,,,,,,,,,,
14517,"2,945",6,1.02,1.02,,,51.95,"1,653.65",1709,709,1021,1067,513,536,371,859,1344,"$287,763.00 ",,,,,,,,,,,,
14533,"1,837",,,,,,83.29,"2,651.06",1756,894,1076,555,358,503,599,551,300,"$408,185.00 ",,,,,,,,,,,,
14539,174,2,5.75,5.75,,,879.31,"27,988.51",103,76,69,135,97,62,82,119,0,"$533,420.00 ",,,,,,,,,,,,
14545,189,,,,,,809.52,"25,767.20",0,94,32,110,12,76,66,175,56,"$412,436.00 ",,,,,,,,,,,,
14558,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14560,"2,188",16,3.66,3.66,,,69.93,"2,225.78",478,537,465,676,410,913,731,1213,797,"$389,510.00 ",,,,,,,,,,,,
14592,207,,,,,,739.13,"23,526.57",153,79,167,37,0,66,232,98,30,"$546,525.00 ",,,,,,,,,,,,
14836,923,,,,,,165.76,"5,276.27",481,384,343,341,184,254,112,399,686,"$422,939.00 ",,,,,,,,,,,,
14846,817,,,,,,187.27,"5,960.83",348,211,185,235,193,407,114,206,317,"$307,526.00 ",,,,,,,,,,,,
Madison County,"79,290",328,2.07,2.07,,18,143.44,794.44,44043,36932,30970,35913,15340,36765,20195,12403,10411,"($1,990,783,744.00)",208,,,1163.708,,,35,,,208,1163.708,35
13030,"3,568",16,2.24,2.24,,6,"2,136.49","14,667.32",1171,681,1865,3004,1895,2891,767,437,388,"$412,917.00 ",,,,,,,,,,,,
13032,"12,001",40,1.67,1.67,,,12.75,405.8,5939,6052,5240,6751,2985,8485,4661,1606,1853,"$376,527.00 ",,,,,,,,,,,,
13035,"8,817",106,6.01,6.01,,5,579.45,"4,608.14",5009,3172,1750,2000,1386,4397,3374,2108,1009,"$487,284.00 ",,,,,,,,,,,,
13037,"9,235",30,1.62,1.62,,1,"1,231.51","6,820.90",3603,2533,3593,5309,3032,6004,1838,1806,1264,"$450,206.00 ",,,,,,,,,,,,
13052,"1,627",2,0.61,0.61,,,94.04,"2,993.24",725,504,268,384,159,847,819,650,520,"$363,239.00 ",,,,,,,,,,,,
13061,"1,039",2,0.96,0.96,,,147.26,"4,687.20",94,449,522,658,268,443,757,266,396,"$465,041.00 ",,,,,,,,,,,,
13072,612,2,1.63,1.63,,,250,"7,957.52",215,139,143,246,102,516,388,291,270,"$331,618.00 ",,,,,,,,,,,,
13082,"4,685",14,1.49,1.49,,,32.66,"1,039.49",1199,1726,2846,4403,1660,1981,359,286,341,"$407,565.00 ",,,,,,,,,,,,
13122,"1,377",2,0.73,0.73,,,111.11,"3,536.67",251,360,338,428,116,514,480,315,176,"$388,117.00 ",,,,,,,,,,,,
13134,181,,,,,,845.3,"26,906.08",0,52,67,30,15,0,61,29,0,"$339,493.00 ",,,,,,,,,,,,
13163,408,2,2.45,2.45,,,375,"11,936.27",322,188,114,175,34,171,66,3,15,"$399,624.00 ",,,,,,,,,,,,
13310,459,2,2.18,2.18,,,333.33,"10,610.02",219,391,255,132,64,411,142,57,68,"$428,765.00 ",,,,,,,,,,,,
13314,472,,,,,,324.15,"10,317.80",196,189,142,300,15,330,88,71,134,"$294,268.00 ",,,,,,,,,,,,
13332,"2,739",14,2.56,2.56,,,55.86,"1,778.02",933,2142,1085,1164,802,574,159,430,481,"$316,121.00 ",,,,,,,,,,,,
13334,"1,205",2,0.83,0.83,,,126.97,"4,041.49",594,473,472,723,19,894,111,311,203,"($666,348,381.00)",,,,,,,,,,,,
13346,"6,210",34,2.74,2.74,,4,781,"6,199.68",7243,3646,1608,871,245,990,826,307,576,"$464,671.00 ",,,,,,,,,,,,
13355,769,,,,,,198.96,"6,332.90",529,326,286,375,39,191,160,267,62,"$300,093.00 ",,,,,,,,,,,,
13364,101,,,,,,"1,514.85","48,217.82",62,27,0,47,44,148,69,163,23,"$214,529.00 ",,,,,,,,,,,,
13402,"1,979",4,1.01,1.01,,,77.31,"2,460.84",851,1051,555,1067,144,595,300,131,175,"$335,568.00 ",,,,,,,,,,,,
13408,"4,065",20,2.46,2.46,,2,366.79,"4,383.03",2860,1609,887,780,257,907,447,537,311,"$320,388.00 ",208,,,1163.708,,,35,,,208,1163.708,35
13409,"2,601",2,0.38,0.38,,,58.82,"1,872.36",1559,1357,1813,1833,250,651,491,590,440,"$372,717.00 ",,,,,,,,,,,,
13418,301,,,,,,508.31,"16,179.40",11,100,101,184,40,233,40,125,43,"$457,368.00 ",,,,,,,,,,,,
13421,"13,638",40,1.47,1.47,,,11.22,357.09,10213,9289,6674,4661,1592,3754,3348,1317,1464,"$328,892.00 ",,,,,,,,,,,,
13484,187,,,,,,818.18,"26,042.78",0,157,60,24,0,211,56,0,0,"($1,332,976,500.00)",,,,,,,,,,,,
